Date,EPS,PE,
18-08-2015,4.54,28.21,DLF
19-08-2015,4.54,27.92,DLF
20-08-2015,4.54,26.48,DLF
21-08-2015,4.54,25.13,DLF
24-08-2015,4.54,21.22,DLF
25-08-2015,4.54,24.79,DLF
26-08-2015,4.54,24.38,DLF
27-08-2015,4.54,25.22,DLF
28-08-2015,4.54,25.35,DLF
31-08-2015,4.54,24.42,DLF
01-09-2015,4.54,23.36,DLF
02-09-2015,4.54,24.15,DLF
03-09-2015,4.54,26.59,DLF
04-09-2015,4.54,25.69,DLF
07-09-2015,4.54,24.82,DLF
08-09-2015,4.54,26.54,DLF
09-09-2015,4.54,26.97,DLF
10-09-2015,4.54,27.24,DLF
11-09-2015,4.54,27.41,DLF
14-09-2015,4.54,27.78,DLF
15-09-2015,4.54,27.11,DLF
16-09-2015,4.54,27.24,DLF
18-09-2015,4.54,27.79,DLF
21-09-2015,4.54,28.14,DLF
22-09-2015,4.54,27.44,DLF
23-09-2015,4.54,28.04,DLF
24-09-2015,4.54,27.84,DLF
28-09-2015,4.54,28.48,DLF
29-09-2015,4.54,29.67,DLF
30-09-2015,5,27.41,DLF
01-10-2015,5,26.77,DLF
05-10-2015,5,26.91,DLF
06-10-2015,5,27.1,DLF
07-10-2015,5,27.7,DLF
08-10-2015,5,27.73,DLF
09-10-2015,5,27.96,DLF
12-10-2015,5,27.21,DLF
13-10-2015,5,27.39,DLF
14-10-2015,5,26.75,DLF
15-10-2015,5,26.91,DLF
16-10-2015,5,25.62,DLF
19-10-2015,5,26.46,DLF
20-10-2015,5,26.34,DLF
21-10-2015,5,25.78,DLF
23-10-2015,5,25.97,DLF
26-10-2015,5,25.81,DLF
27-10-2015,5,25.43,DLF
28-10-2015,5,24.8,DLF
29-10-2015,5,24.1,DLF
30-10-2015,5,23.32,DLF
02-11-2015,5,23.73,DLF
03-11-2015,5,24.03,DLF
04-11-2015,5,24.43,DLF
05-11-2015,5,23.24,DLF
06-11-2015,5,23.69,DLF
09-11-2015,5,22.76,DLF
10-11-2015,5,21.76,DLF
11-11-2015,5,22.4,DLF
13-11-2015,5,22.05,DLF
16-11-2015,5,22,DLF
17-11-2015,5,22.33,DLF
18-11-2015,5,21.3,DLF
19-11-2015,5,20.73,DLF
20-11-2015,5,20.48,DLF
23-11-2015,5,20.63,DLF
24-11-2015,5,21.4,DLF
26-11-2015,5,22.69,DLF
27-11-2015,5,22.82,DLF
30-11-2015,5,23.04,DLF
01-12-2015,5,23.56,DLF
02-12-2015,5,23.4,DLF
03-12-2015,5,23.73,DLF
04-12-2015,5,23.44,DLF
07-12-2015,5,23.32,DLF
08-12-2015,5,22.09,DLF
09-12-2015,5,22.11,DLF
